,ID Nav Flotteur,Date Visite,Jauge Oslo,Longueur Hors Tout,Nombre Moteur,Num Version,Puissance Administrative,Nombre Prescriptions,Nombre Prescriptions Majeurs,Sitrep History,Sitrep History,age,age_francisation,Genre Navigation=C.M.PetitePêche,Genre Navigation=Cabotage Internat.,Genre Navigation=Cabotage National,Genre Navigation=Conchyl.PetitePêche,Genre Navigation=Conchyl.Pure,Genre Navigation=Lamanage,Genre Navigation=Lamanage Nav cot,Genre Navigation=Navigation côtière,Genre Navigation=Petite pêche,Genre Navigation=Pilotage,Genre Navigation=Plaisance Cabot. Nat,Genre Navigation=Plaisance Cabot.Int.,Genre Navigation=Plaisance Long Cours,Genre Navigation=Plaisance NC,Genre Navigation=Pêche au large,Genre Navigation=Pêche côtière,Genre Navigation=Remorquage CI,Genre Navigation=Remorquage CN,Materiau Coque=ACIER,Materiau Coque=ACIER / INOX,Materiau Coque=AG/4 - ALU,Materiau Coque=ALLIAGE LEGER,Materiau Coque=BOIS,Materiau Coque=BOIS MASSIF,Materiau Coque=BOIS MOULE,Materiau Coque=CONTREPLAQUE,Materiau Coque=METAL,Materiau Coque=PLASTIQUE,Materiau Coque=PLASTIQUE SANDWICH,Materiau Coque=PNEUMATIQUE,Materiau Coque=POLYESTER EPOXY,Materiau Coque=POLYETHYLENE,Situation Flotteur=Français pêche,Type Carburant=ELECTRICITE,Type Carburant=ESSENCE,Type Carburant=GAZOLE,Type Moteur=Combustion Interne,Type Moteur=Diesel électrique,Type Moteur=Explosion,Type Moteur=Propulseur électrique,Type Moteur=Turbine à vapeur
12,31912.0,2018-01-26,4.71,7.87,1.0,8.0,147.0,0.0,0.0,1.0,1.0,46.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13,31912.0,2019-05-15,4.71,7.87,1.0,8.0,147.0,2.0,0.0,1.0,1.0,47.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
22,40246.0,2018-03-06,6.98,7.9,1.0,7.0,147.0,5.0,2.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
23,40246.0,2019-06-12,6.98,7.9,1.0,7.0,147.0,0.0,0.0,0.0,0.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
24,40246.0,2020-10-06,6.98,7.9,1.0,7.0,147.0,0.0,0.0,0.0,0.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
25,40610.0,2016-04-26,3.79,9.77,1.0,8.0,74.0,3.0,0.0,1.0,1.0,49.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
26,40610.0,2018-04-12,3.79,9.77,1.0,8.0,74.0,4.0,0.0,1.0,1.0,51.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
27,40610.0,2019-05-07,3.79,9.77,1.0,8.0,74.0,2.0,1.0,1.0,1.0,52.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
28,40610.0,2020-10-30,3.79,9.77,1.0,8.0,74.0,2.0,0.0,1.0,1.0,53.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
29,45858.0,2016-09-07,1.98,5.8,1.0,14.0,29.0,11.0,1.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30,45858.0,2020-11-12,1.98,5.8,1.0,14.0,29.0,4.0,1.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
31,46379.0,2017-07-18,1.98,6.1,1.0,8.0,44.0,3.0,0.0,0.0,0.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
34,58138.0,2016-07-05,4.25,8.34,1.0,3.0,25.0,2.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
