,coefficient
nombre_prescriptions,0.88255668617697
nombre_prescriptions_majeurs,0.8103798826898487
longueur_hors_tout,0.8439341043858153
annee_construction,0.3376769236106919
type_carburant,0.9111746030691981
puissance_propulsive,0.6615736860085344
origine,0.5567340990191242
genre_navigation,1.1067605764310045
turn_over,0.8309887510045882
